director_name,actor_1_name,actor_2_name,actor_3_name,Genres,movie_title,comb
Matt Thompson, Channing Tatum,Jason Mantzoukas,Olivia Munn,Action Comedy History Animation Fantasy,america: the motion picture, Channing Tatum Jason Mantzoukas Olivia Munn Matt Thompson Action Comedy History Animation Fantasy
Janicza Bravo, Taylour Paige,Riley Keough,Nicholas Braun,Drama Comedy Crime,zola, Taylour Paige Riley Keough Nicholas Braun Janicza Bravo Drama Comedy Crime
Steven Soderbergh, Don Cheadle,Benicio del Toro,David Harbour,Crime Drama Thriller Mystery,no sudden move, Don Cheadle Benicio del Toro David Harbour Steven Soderbergh Crime Drama Thriller Mystery
Chris McKay, Chris Pratt,Yvonne Strahovski,J. K. Simmons,Action Science Fiction Adventure,the tomorrow war, Chris Pratt Yvonne Strahovski J. K. Simmons Chris McKay Action Science Fiction Adventure
Tom McGrath, Alec Baldwin,James Marsden,Amy Sedaris,Animation Comedy Adventure Family,the boss baby: family business, Alec Baldwin James Marsden Amy Sedaris Tom McGrath Animation Comedy Adventure Family
Everardo Gout, Ana de la Reguera,Tenoch Huerta,Josh Lucas,Horror Action Thriller,the forever purge, Ana de la Reguera Tenoch Huerta Josh Lucas Everardo Gout Horror Action Thriller
Leigh Janiak, Kiana Madeira,Olivia Scott Welch,Benjamin Flores Jr.,Horror Mystery,fear street part one: 1994, Kiana Madeira Olivia Scott Welch Benjamin Flores Jr. Leigh Janiak Horror Mystery
Questlove,Questlove (director); Stevie Wonder,Nina Simone,Sly and the Family Stone,Documentary Music,summer of soul,Questlove (director); Stevie Wonder Nina Simone Sly and the Family Stone Questlove Documentary Music
S.K. Dale, Megan Fox,Eoin Macken,Callan Mulvey,Horror Thriller,till death, Megan Fox Eoin Macken Callan Mulvey S.K. Dale Horror Thriller
Craig Moss, Mackenzie Moss,Sadie Stanley,Mackenzie Ziegler,Science Fiction Thriller,let us in, Mackenzie Moss Sadie Stanley Mackenzie Ziegler Craig Moss Science Fiction Thriller
Cate Shortland, Scarlett Johansson,Florence Pugh,David Harbour,Action Adventure Science Fiction,black widow, Scarlett Johansson Florence Pugh David Harbour Cate Shortland Action Adventure Science Fiction
Leigh Janiak, Sadie Sink,Emily Rudd,Ryan Simpkins,Horror Mystery,fear street part two: 1978, Sadie Sink Emily Rudd Ryan Simpkins Leigh Janiak Horror Mystery
Carlos López Estrada, Tyris Winter,Marquesha Babers,Maia Mayor,Drama Romance,summertime, Tyris Winter Marquesha Babers Maia Mayor Carlos López Estrada Drama Romance
Navot Papushado, Karen Gillan,Lena Headey,Carla Gugino,Action Thriller Crime,gunpowder milkshake, Karen Gillan Lena Headey Carla Gugino Navot Papushado Action Thriller Crime
Malcolm D. Lee, LeBron James,Don Cheadle,Khris Davis,Animation Comedy Family Science Fiction,space jam: a new legacy, LeBron James Don Cheadle Khris Davis Malcolm D. Lee Animation Comedy Family Science Fiction
Adam Robitel, Taylor Russell,Logan Miller,Indya Moore,Horror Thriller Mystery,escape room: tournament of champions, Taylor Russell Logan Miller Indya Moore Adam Robitel Horror Thriller Mystery
Leigh Janiak, Kiana Madeira,Ashley Zukerman,Gillian Jacobs,Mystery Horror,fear street part three: 1666, Kiana Madeira Ashley Zukerman Gillian Jacobs Leigh Janiak Mystery Horror
Colin Schiffli, Alexandra Daddario,Diego Boneta,Justin Chatwin,Action Drama Romance Comedy Crime,die in a gunfight, Alexandra Daddario Diego Boneta Justin Chatwin Colin Schiffli Action Drama Romance Comedy Crime
Michael Sarnoski, Nicolas Cage,Alex Wolff,Adam Arkin,Drama Thriller,pig, Nicolas Cage Alex Wolff Adam Arkin Michael Sarnoski Drama Thriller
Mike Burns, Bruce Willis,Jaime King,Lala Kent,Crime Adventure Thriller,out of death, Bruce Willis Jaime King Lala Kent Mike Burns Crime Adventure Thriller
Morgan Neville, Anthony Bourdain,unknown,unknown,Documentary,roadrunner: a film about anthony bourdain, Anthony Bourdain unknown unknown Morgan Neville Documentary
"Daryl Wein, Zoe Lister-Jones", Zoe Lister-Jones,Cailee Spaeny,Olivia Wilde,Science Fiction Thriller Mystery Action Adventure,how it ends," Zoe Lister-Jones Cailee Spaeny Olivia Wilde Daryl Wein, Zoe Lister-Jones Science Fiction Thriller Mystery Action Adventure"
"Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco", Emile Hirsch,Lexi Medrano,Charlie Saxton,Animation Fantasy Family Action Adventure Science Fiction,trollhunters: rise of the titans," Emile Hirsch Lexi Medrano Charlie Saxton Johane Matte, Andrew L. Schmidt, Franciso Ruiz Velasco Animation Fantasy Family Action Adventure Science Fiction"
Robert Schwentke, Henry Golding,Andrew Koji,Úrsula Corberó,Action Adventure,snake eyes, Henry Golding Andrew Koji Úrsula Corberó Robert Schwentke Action Adventure
M. Night Shyamalan, Gael García Bernal,Vicky Krieps,Rufus Sewell,Mystery Thriller Horror,old, Gael García Bernal Vicky Krieps Rufus Sewell M. Night Shyamalan Mystery Thriller Horror
Reinaldo Marcus Green, Mark Wahlberg,Reid Miller,Connie Britton,Drama Adventure,joe bell, Mark Wahlberg Reid Miller Connie Britton Reinaldo Marcus Green Drama Adventure
Tanya Wexler,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale,Bobby Cannavale,Laverne Cox,Action Comedy,jolt,Tanya Wexler (director); Scott Wascha (screenwriter); Kate Beckinsale Bobby Cannavale Laverne Cox Tanya Wexler Action Comedy
Randall Emmett, Megan Fox,Bruce Willis,Emile Hirsch,Crime Mystery Thriller Action,midnight in the switchgrass, Megan Fox Bruce Willis Emile Hirsch Randall Emmett Crime Mystery Thriller Action
Peter Sattler, Ben Platt,Lola Kirke,Yvette Nicole Brown,Drama,broken diamonds, Ben Platt Lola Kirke Yvette Nicole Brown Peter Sattler Drama
"Leo Scott, Ting Poo",Leo Scott,Ting Poo (directors); Val Kilmer,unknown,Documentary,val,"Leo Scott Ting Poo (directors); Val Kilmer unknown Leo Scott, Ting Poo Documentary"
Jamila Wignot,Jamila Wignot (director),unknown,unknown,Documentary,ailey,Jamila Wignot (director) unknown unknown Jamila Wignot Documentary
